epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
1,4.264326505510232,3.633236527442932,3.6205511055886745,0.2670828402905007,0.31637474015586575,0.3226260334104275
2,3.4988792055680347,3.3083082400262356,3.291018906980753,0.3286303791726359,0.3429512932407542,0.3496641714944535
3,3.2250108412603145,3.1256273947656155,3.106381170451641,0.3532134146142897,0.36299129927189017,0.3673497324493988
4,3.0416373009738242,3.0122514367103577,2.990834467113018,0.370928048514367,0.37491542193998584,0.3796370347724774
5,2.908663879270139,2.9357239343225956,2.9090431183576584,0.3839828418200069,0.3836046086560443,0.3861041151774248
6,2.8017202361299116,2.881207086145878,2.853596802800894,0.39507505746154964,0.38980701634723713,0.39216683937234703
7,2.7136083718816284,2.8380797132849693,2.811342488974333,0.40436633567456143,0.39487215317221536,0.3986601564809526
8,2.6382406106579444,2.811767663806677,2.7841047681868076,0.41218993546972404,0.39668640342815215,0.40115870660657127
9,2.5704518010022612,2.786561194807291,2.756469741463661,0.4204210507834944,0.40012436363388465,0.4050725705641453
10,2.508994853072487,2.773826953023672,2.7418314926326275,0.42750531815493353,0.401843680927618,0.4085906996153567
11,2.4541175530362036,2.7613857239484787,2.729407612234354,0.43519269315946957,0.4057081723352783,0.4115642655139055
12,2.402845192803696,2.752705316990614,2.7220658361911774,0.44154224004025405,0.40520462519322964,0.41079168433777113
13,2.3533347105320264,2.7547432631254196,2.721024375408888,0.447485821277763,0.4062148505901697,0.4124123125708903
14,2.3108688630605405,2.7414240650832653,2.711493607610464,0.45345075687481395,0.4063850812593113,0.41158544025324173
15,2.267094045759661,2.7435337528586388,2.7106859274208546,0.45954529389941856,0.40853312579593004,0.4130709781800963
16,2.227309839763189,2.746987536549568,2.7160260938107967,0.4649865258533909,0.4094661904374414,0.41430927815827573
17,2.188201635486995,2.7410886213183403,2.7114723548293114,0.47023949652942376,0.4081802324016018,0.41369982359428803
18,2.1524423518670877,2.753015946596861,2.7182036079466343,0.4760116966815326,0.405168777960685,0.4119040071292488
19,2.1166700546449353,2.754197660833597,2.721250716596842,0.4819057209221573,0.4074487038560896,0.41212568335972133
20,2.0824166800193638,2.756446585059166,2.7260513082146645,0.4857712903912991,0.4067247316484423,0.41131736271471336
21,2.0507529752527773,2.7617621272802353,2.7297524139285088,0.49200060543409424,0.40916044391542916,0.41403075716374566
22,2.020299065018831,2.768767111003399,2.738506592810154,0.49604868440619254,0.40689509099828847,0.4119867383003839
23,1.9883469178271387,2.776923105120659,2.7441919445991516,0.5016115072485758,0.4069140058364652,0.41256987870284584
24,1.959885261982326,2.782283514738083,2.7512257769703865,0.506786546567651,0.4077371662080809,0.4098032570019718
25,1.9322271778178308,2.7898192405700684,2.7579877600073814,0.5111084418490537,0.4054398560609579,0.40892702946171317
26,1.9042835174341919,2.797986011952162,2.7633364871144295,0.5155852812467061,0.40704803053379784,0.41208818941037306
27,1.8780894981542595,2.8059508092701435,2.7755078598856926,0.5206310832637833,0.4052451885227648,0.4080029940796099
28,1.8527669402450442,2.814254529774189,2.7805804647505283,0.5255149000874678,0.40520498257757975,0.4095310056547878
29,1.8274607769114226,2.825418032705784,2.79180134087801,0.5297651583118406,0.40480984696469047,0.4088548692954443
30,1.8038604259490967,2.836139615625143,2.8035972379148006,0.5340014187561318,0.40406256228316556,0.4069610279710855
